step,0_zone_wastes,1_zone_wastes,2_zone_wastes,red_zone_wastes
1,20,6,4,0
2,17,4,4,0
3,14,4,3,0
4,13,4,2,0
5,12,4,2,0
6,14,4,3,1
7,14,4,4,2
8,13,4,4,2
9,11,4,4,2
10,12,4,4,2
11,12,4,4,2
12,13,4,4,2
13,12,4,4,2
14,12,4,4,2
15,10,4,4,2
16,9,4,4,2
17,9,4,4,2
18,10,4,4,2
19,10,4,4,2
20,9,5,4,2
21,9,5,4,2
22,8,4,4,2
23,8,4,4,2
24,7,4,4,2
25,7,4,4,2
26,6,4,5,3
27,6,5,5,3
28,6,5,5,3
29,6,5,5,3
30,6,6,4,3
31,6,6,4,3
32,6,6,5,4
33,6,6,5,4
34,5,6,5,4
35,5,6,5,4
36,5,5,5,4
37,5,5,5,4
38,5,5,5,4
39,5,5,6,5
40,5,4,6,5
41,5,4,6,5
42,6,3,6,5
43,5,3,6,5
44,5,3,6,5
45,4,4,6,5
46,3,2,6,5
47,3,2,6,5
48,4,2,5,5
49,4,2,5,5
50,4,2,5,5
