experiment,run,green_agents,yellow_agents,red_agents,green_wastes,yellow_wastes,red_wastes,width,height,stationary_step,wastes_in_drop_zone,wastes_not_in_drop_zone,wastes_in_inventories
baseline,1,1,1,1,0.0,0.0,6.0,24,12,130.0,6.0,0.0,0.0
baseline,2,1,1,1,0.0,0.0,6.0,24,12,163.0,6.0,0.0,0.0
baseline,3,1,1,1,0.0,0.0,6.0,24,12,415.0,6.0,0.0,0.0
baseline,avg,1,1,1,0.0,0.0,6.0,24,12,236.0,6.0,0.0,0.0
waste_load_low,1,1,1,1,1.0,1.0,8.0,24,12,202.0,8.0,2.0,0.0
waste_load_low,2,1,1,1,1.0,1.0,8.0,24,12,377.0,8.0,2.0,0.0
waste_load_low,3,1,1,1,1.0,1.0,8.0,24,12,239.0,8.0,2.0,0.0
waste_load_low,avg,1,1,1,1.0,1.0,8.0,24,12,272.6666666666667,8.0,2.0,0.0
waste_load_medium,1,1,1,1,0.0,1.0,17.0,24,12,471.0,17.0,1.0,0.0
waste_load_medium,2,1,1,1,0.0,1.0,17.0,24,12,251.0,17.0,1.0,0.0
waste_load_medium,3,1,1,1,0.0,1.0,17.0,24,12,275.0,17.0,1.0,0.0
waste_load_medium,avg,1,1,1,0.0,1.0,17.0,24,12,332.3333333333333,17.0,1.0,0.0
waste_load_high,1,1,1,1,0.0,2.0,34.0,24,12,430.0,33.0,3.0,0.0
waste_load_high,2,1,1,1,0.0,0.0,35.0,24,12,495.0,33.0,2.0,0.0
waste_load_high,3,1,1,1,0.0,0.0,35.0,24,12,499.0,35.0,0.0,0.0
waste_load_high,avg,1,1,1,0.0,0.6666666666666666,34.666666666666664,24,12,474.6666666666667,33.666666666666664,1.6666666666666667,0.0
high_green_agents,1,6,1,1,0.0,0.0,6.0,24,12,411.0,6.0,0.0,0.0
high_green_agents,2,6,1,1,0.0,0.0,6.0,24,12,404.0,6.0,0.0,0.0
high_green_agents,3,6,1,1,0.0,0.0,6.0,24,12,188.0,6.0,0.0,0.0
high_green_agents,avg,6,1,1,0.0,0.0,6.0,24,12,334.3333333333333,6.0,0.0,0.0
high_yellow_agents,1,1,6,1,0.0,0.0,6.0,24,12,349.0,6.0,0.0,0.0
high_yellow_agents,2,1,6,1,0.0,0.0,5.0,24,12,472.0,5.0,0.0,2.0
